contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320P00080000,2025-12-17 18:21:53+00:00,80.0,0.02,0.0,0.04,0.0,0.0,3.0,32,1.3281283593749997,False,REGULAR,USD,put,2026-03-20
GOOG260320P00085000,2026-01-26 15:55:59+00:00,85.0,0.01,0.0,0.22,0.0,0.0,40.0,61,1.4980493847656249,False,REGULAR,USD,put,2026-03-20
GOOG260320P00090000,2026-01-26 15:12:42+00:00,90.0,0.01,0.0,0.01,0.0,0.0,55.0,234,1.09375453125,False,REGULAR,USD,put,2026-03-20
GOOG260320P00095000,2026-01-21 16:48:35+00:00,95.0,0.01,0.0,0.04,0.0,0.0,10.0,102,1.171879140625,False,REGULAR,USD,put,2026-03-20
GOOG260320P00100000,2026-01-26 15:12:32+00:00,100.0,0.01,0.0,0.02,0.0,0.0,10.0,404,1.0625046875000002,False,REGULAR,USD,put,2026-03-20
GOOG260320P00105000,2026-01-21 19:03:54+00:00,105.0,0.01,0.0,0.06,0.0,0.0,13.0,326,1.1171919140625,False,REGULAR,USD,put,2026-03-20
GOOG260320P00110000,2026-02-06 20:44:12+00:00,110.0,0.01,0.01,0.04,0.0,0.0,2.0,499,1.0546922265625,False,REGULAR,USD,put,2026-03-20
GOOG260320P00115000,2026-02-06 20:23:55+00:00,115.0,0.01,0.0,0.01,-0.01,-50.0,25.0,440,0.9062509375,False,REGULAR,USD,put,2026-03-20
GOOG260320P00120000,2026-02-06 18:08:43+00:00,120.0,0.04,0.01,0.07,-0.08,-66.66667,18.0,693,1.015629921875,False,REGULAR,USD,put,2026-03-20
GOOG260320P00125000,2026-02-06 20:58:20+00:00,125.0,0.25,0.01,0.81,0.21000001,525.00006,73.0,750,1.2695349023437497,False,REGULAR,USD,put,2026-03-20
GOOG260320P00130000,2026-02-06 20:52:34+00:00,130.0,0.04,0.0,0.58,0.0,0.0,52.0,2369,1.1660197949218751,False,REGULAR,USD,put,2026-03-20
GOOG260320P00135000,2026-02-05 14:33:30+00:00,135.0,0.06,0.0,0.98,0.0,0.0,1.0,2227,1.2041055419921873,False,REGULAR,USD,put,2026-03-20
GOOG260320P00140000,2026-02-06 20:52:31+00:00,140.0,0.21,0.01,0.5,0.059999987,39.99999,83.0,1833,1.0595750146484377,False,REGULAR,USD,put,2026-03-20
GOOG260320P00145000,2026-02-06 20:32:05+00:00,145.0,0.15,0.02,0.48,0.060000002,66.66667,17.0,1982,1.015629921875,False,REGULAR,USD,put,2026-03-20
GOOG260320P00150000,2026-02-06 20:52:59+00:00,150.0,0.2,0.02,0.49,0.0,0.0,56.0,2412,0.9785158398437501,False,REGULAR,USD,put,2026-03-20
GOOG260320P00155000,2026-02-06 20:53:06+00:00,155.0,0.06,0.04,0.08,-0.010000002,-14.285716,9.0,3668,0.79687703125,False,REGULAR,USD,put,2026-03-20
GOOG260320P00160000,2026-02-06 20:39:55+00:00,160.0,0.07,0.06,0.09,0.0,0.0,71.0,2493,0.7812521875,False,REGULAR,USD,put,2026-03-20
GOOG260320P00165000,2026-02-06 20:22:50+00:00,165.0,0.07,0.05,0.11,0.0,0.0,21.0,1694,0.75586181640625,False,REGULAR,USD,put,2026-03-20
GOOG260320P00170000,2026-02-06 20:24:00+00:00,170.0,0.08,0.07,0.11,0.0,0.0,20.0,1159,0.7334011035156249,False,REGULAR,USD,put,2026-03-20
GOOG260320P00175000,2026-02-06 20:17:22+00:00,175.0,0.09,0.1,0.13,-0.009999998,-9.999998,15.0,883,0.7226590234375,False,REGULAR,USD,put,2026-03-20
